ticker,open,high,low,close,volume,amount,marketCap,shares,foreignersShares,foreignersRate,exhaustionShares,exhsuationRate,name,market,KRXIndustry,products,IPO,industryCode,industryName,sectorCode,sectorName
060310,1811,1811,1777,1782,134673,240914220,94551209280,53059040,1968096,3.7109375,53059040,3.7109375,3S,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어,20020423,WI230,기계,G20,산업재
095570,4295,4320,4280,4315,129865,558269759,195265655085,45252759,1861118,4.109375,45252759,4.109375,AJ네트웍스,KOSPI,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",20150821,WI260,운송,G20,산업재
006840,11040,11060,10970,11060,6068,66851450,146518024660,13247561,746462,5.6289062,13247561,5.6289062,AK홀딩스,KOSPI,기타 금융업,지주사업,19990811,WI110,화학,G15,소재
054620,4625,4625,4560,4595,7928,36303750,91413945495,19894221,355303,1.7900391,19894221,1.7900391,APS,KOSDAQ,기타 금융업,인터넷 트래픽 솔루션,20011204,WI620,반도체,G45,IT
265520,18740,18850,18480,18710,99455,1857455735,281600860910,15050821,1673139,11.1171875,15050821,11.1171875,AP시스템,KOSDAQ,특수 목적용 기계 제조업,디스플레이 제조 장비,20170407,WI640,디스플레이,G45,IT
211270,12700,12890,12500,12680,128422,1634369230,191243614720,15082304,149200,0.9902344,15082304,0.9902344,AP위성,KOSDAQ,통신 및 방송 장비 제조업,위성통신 단말기,20160304,WI610,IT하드웨어,G45,IT
139050,0,0,0,2805,0,0,24247965555,8644551,424398,4.9101562,8644551,4.9101562,BF랩스,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)",20110729,__industryCode__,__industryName__,__sectorCode__,__sectorName__
027410,4065,4070,3990,4050,64297,258590270,387653003550,95716791,2222021,2.3203125,95716791,2.3203125,BGF,KOSPI,기타 금융업,지주회사,20140519,WI110,화학,G15,소재
282330,108800,109900,107600,109700,34819,3804652578,1896044488200,17283906,5016781,29.03125,17283906,29.03125,BGF리테일,KOSPI,종합 소매업,체인화 편의점,20171208,WI340,소매(유통),G25,경기관련소비재
126600,2980,2980,2950,2980,24439,72498745,187045359020,62766899,669506,1.0703125,62766899,1.0703125,BGF에코머티리얼즈,KOSDAQ,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,20101112,WI300,자동차,G25,경기관련소비재
138930,15340,15350,15090,15120,731886,11092366095,4754108328480,314425154,124435890,39.59375,314425154,39.59375,BNK금융지주,KOSPI,기타 금융업,금융지주회사,20110330,WI500,은행,G40,금융
001460,40100,40100,39100,39300,1269,49971250,245473695000,6246150,301952,4.828125,6246150,4.828125,BYC,KOSPI,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",19750602,WI310,"화장품,의류",G25,경기관련소비재
083790,1810,1835,1767,1815,131574,235972983,139562940330,76894182,2842866,3.6992188,76894182,3.6992188,CG인바이츠,KOSDAQ,자연과학 및 공학 연구개발업,아셀렉스,20060106,WI410,건강관리,G35,건강관리
001040,196600,202000,195400,198100,138631,27494952950,5779963303800,29176998,3832857,13.140625,29176998,13.140625,CJ,KOSPI,기타 금융업,지주회사,19730629,WI250,"상사,자본재",G20,산업재
079160,5090,5240,5090,5170,427885,2215867100,856054984950,165581235,7559393,4.5703125,165581235,4.5703125,CJ CGV,KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",20041224,WI331,미디어,G50,커뮤니케이션서비스
035760,76100,77000,75200,76200,70677,5363536950,1671001534800,21929154,4057691,18.5,10745285,37.75,CJ ENM,KOSDAQ,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",19991123,WI331,미디어,G50,커뮤니케이션서비스
311690,10130,10270,10010,10060,4421,44530370,131438547720,13065462,285705,2.1894531,13065462,2.1894531,CJ 바이오사이언스,KOSDAQ,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",20191226,WI410,건강관리,G35,건강관리
000120,85400,85500,84300,85100,39828,3378136550,1941330474400,22812344,3189465,13.9765625,22812344,13.9765625,CJ대한통운,KOSPI,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",19560702,WI260,운송,G20,산업재
011150,2905,2910,2885,2885,117511,340168954,103660280105,35930773,490273,1.3603516,35930773,1.3603516,CJ씨푸드,KOSPI,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",19881126,WI400,필수소비재,G30,필수소비재
097950,241500,242000,237500,237500,42245,10084128500,3575369175000,15054186,2643340,17.5625,15054186,17.5625,CJ제일제당,KOSPI,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",20070928,WI400,필수소비재,G30,필수소비재
051500,28850,29050,28400,28950,17608,508081800,343682414700,11871586,1584416,13.3515625,11871586,13.3515625,CJ프레시웨이,KOSDAQ,음·식료품 및 담배 도매업,"식자재유통, 단체급식",20010726,WI400,필수소비재,G30,필수소비재
058820,1917,1917,1892,1913,253780,482629502,282502598297,147675169,5120590,3.4707031,147675169,3.4707031,CMG제약,KOSDAQ,의약품 제조업,의약품,20010831,WI410,건강관리,G35,건강관리
056730,726,748,725,730,20020,14573707,54101165780,74111186,976200,1.3203125,74111186,1.3203125,CNT85,KOSDAQ,건물 건설업,산업설비 제조외,20020104,WI220,건설,G20,산업재
000480,5030,5030,4985,5000,29876,149242395,234452450000,46890490,395066,0.83984375,46890490,0.83984375,CR홀딩스,KOSPI,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",19780630,WI200,비철금속,G15,소재
065770,971,979,961,966,68481,66241345,18751151580,19411130,754618,3.890625,19411130,3.890625,CS,KOSDAQ,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",20040604,WI610,IT하드웨어,G45,IT
083660,732,850,724,785,3767579,2996562105,48079037085,61247181,1413903,2.3105469,61247181,2.3105469,CSA 코스믹,KOSDAQ,기타 화학제품 제조업,화장품 제조 및 판매,20060725,WI310,"화장품,의류",G25,경기관련소비재
000590,86000,87500,85400,86200,1449,124501400,99516348400,1154482,40917,3.5390625,1154482,3.5390625,CS홀딩스,KOSPI,기타 금융업,"브랜드 수익, 자회사 배당",19751222,WI210,철강,G15,소재
012030,1687,1687,1593,1605,2269742,3678870998,322884162465,201173933,4319549,2.1503906,201173933,2.1503906,DB,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",19930106,WI602,IT서비스,G45,IT
005830,142100,142900,140400,141600,227754,32156378575,10025280000000,70800000,31322400,44.25,70800000,44.25,DB손해보험,KOSPI,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",19730628,WI520,보험,G40,금융
016610,9680,9690,9470,9650,93059,893181100,409607653850,42446389,2919544,6.8789062,42446389,6.8789062,DB증권,KOSPI,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",19880627,WI510,증권,G40,금융
000990,55900,57700,55100,56800,473352,26710885550,2521839798400,44398588,13054410,29.40625,44398588,29.40625,DB하이텍,KOSPI,반도체 제조업,반도체 제조,19751212,WI620,반도체,G45,IT
099520,0,0,0,1284,0,0,58141862016,45281824,417806,0.9199219,45281824,0.9199219,DGI,KOSDAQ,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",20091222,__industryCode__,__industryName__,__sectorCode__,__sectorName__
060900,1054,1055,1020,1041,81684,83951285,27195114189,26124029,315222,1.2099609,26124029,1.2099609,DGP,KOSDAQ,전기업,풍력 및 태양광 발전업,20020917,WI100,에너지,G10,에너지
000300,0,0,0,1984,0,0,162944308992,82129188,562650,0.6899414,82129188,0.6899414,DH오토넥스,KOSPI,자동차 신품 부품 제조업,"유,무선 통신장비",19750609,WI300,자동차,G25,경기관련소비재
290120,2425,2435,2370,2375,6282,15019660,37582591375,15824249,148565,0.9399414,15824249,0.9399414,DH오토리드,KOSDAQ,자동차 신품 부품 제조업,자동차 스티어링휠,20181207,WI300,자동차,G25,경기관련소비재
025440,787,789,776,788,116146,90685724,38439604512,48781224,0,0.0,48781224,0.0,DH오토웨어,KOSDAQ,영상 및 음향기기 제조업,카멀티미디어 및 TFT-LCD 부품제조..,19950522,WI300,자동차,G25,경기관련소비재
001530,36900,37150,36450,36900,17364,640273750,728010432000,19729280,1161980,5.890625,19729280,5.890625,DI동일,KOSPI,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",19640104,WI310,"화장품,의류",G25,경기관련소비재
015590,0,0,0,515,0,0,122045495160,236981544,22269783,9.3984375,236981544,9.3984375,DKME,KOSPI,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",19890527,WI230,기계,G20,산업재
000210,38400,38700,37700,37950,52031,1969796550,795275797800,20955884,3101887,14.796875,20955884,14.796875,DL,KOSPI,기초 화학물질 제조업,지주회사,19760202,WI110,화학,G15,소재
375500,44100,44150,42850,42900,180780,7813769125,1659956426700,38693623,11988314,30.984375,38693623,30.984375,DL이앤씨,KOSPI,토목 건설업,토목 건설 사업,20210125,WI220,건설,G20,산업재
068790,0,0,0,6330,0,0,149939488590,23687123,825916,3.4902344,23687123,3.4902344,DMS,KOSDAQ,특수 목적용 기계 제조업,LCD 제조장비,20041001,WI640,디스플레이,G45,IT
007340,24900,25000,24600,24750,49104,1214416925,1448143908750,58510865,2116425,3.6191406,58510865,3.6191406,DN오토모티브,KOSPI,일차전지 및 이차전지 제조업,자동차용 밧데리,19880924,WI300,자동차,G25,경기관련소비재
