ticker,open,high,low,close,volume,amount,marketCap,shares,foreignersShares,foreignersRate,exhaustionShares,exhsuationRate,name,market,KRXIndustry,products,IPO,industryCode,industryName,sectorCode,sectorName
060310,1821,1828,1800,1807,124784,225758804,95877685280,53059040,2014135,3.8007812,53059040,3.8007812,3S,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어,2002-04-23,WI230,기계,G20,산업재
095570,4325,4345,4280,4300,173724,746034484,194586863700,45252759,1907024,4.2109375,45252759,4.2109375,AJ네트웍스,KOSPI,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,WI260,운송,G20,산업재
006840,11340,11350,10960,11040,13343,147674095,146253073440,13247561,750191,5.6601562,13247561,5.6601562,AK홀딩스,KOSPI,기타 금융업,지주사업,1999-08-11,WI110,화학,G15,소재
054620,4650,4670,4590,4625,16720,77173400,92010772125,19894221,359755,1.8095703,19894221,1.8095703,APS,KOSDAQ,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,WI620,반도체,G45,IT
265520,18650,18950,18500,18790,192508,3608598945,282804926590,15050821,1649584,10.9609375,15050821,10.9609375,AP시스템,KOSDAQ,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,WI640,디스플레이,G45,IT
211270,12240,12510,12220,12450,36883,457216940,187774684800,15082304,139831,0.9301758,15082304,0.9301758,AP위성,KOSDAQ,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,WI610,IT하드웨어,G45,IT
109960,377,380,365,368,859490,316450268,81250450992,220789269,356365,0.16003418,220789269,0.16003418,앱토크롬,KOSDAQ,기타 전문 도매업,"모바일게임 퍼블리싱, 바이오의약품 연구개발업 및 판매, 생산설비 및 연구장비의 대여 및 판매",2009-11-13,WI410,건강관리,G35,건강관리
139050,0,0,0,2805,0,0,24247965555,8644551,424398,4.9101562,8644551,4.9101562,BF랩스,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)",2011-07-29,__industryCode__,__industryName__,__sectorCode__,__sectorName__
027410,4110,4110,4050,4070,76763,312947937,389567339370,95716791,2226048,2.3300781,95716791,2.3300781,BGF,KOSPI,기타 금융업,지주회사,2014-05-19,WI110,화학,G15,소재
282330,109800,110500,108600,108900,34734,3799208500,1882217363400,17283906,5014259,29.015625,17283906,29.015625,BGF리테일,KOSPI,종합 소매업,체인화 편의점,2017-12-08,WI340,소매(유통),G25,경기관련소비재
126600,3000,3005,2965,2980,47963,142780425,187045359020,62766899,677746,1.0800781,62766899,1.0800781,BGF에코머티리얼즈,KOSDAQ,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,WI300,자동차,G25,경기관련소비재
138930,15560,15730,15350,15350,738811,11429954735,4826426113900,314425154,124627850,39.625,314425154,39.625,BNK금융지주,KOSPI,기타 금융업,금융지주회사,2011-03-30,WI500,은행,G40,금융
001460,39500,40850,37800,40100,4261,168458850,250470615000,6246150,303529,4.859375,6246150,4.859375,BYC,KOSPI,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,WI310,"화장품,의류",G25,경기관련소비재
083790,1787,1850,1760,1810,166994,298412189,139178469420,76894182,2843845,3.6992188,76894182,3.6992188,CG인바이츠,KOSDAQ,자연과학 및 공학 연구개발업,아셀렉스,2006-01-06,WI410,건강관리,G35,건강관리
001040,197500,203500,194200,196600,194303,38320533850,5736197806800,29176998,3854840,13.2109375,29176998,13.2109375,CJ,KOSPI,기타 금융업,지주회사,1973-06-29,WI250,"상사,자본재",G20,산업재
079160,5170,5200,5110,5140,281275,1445810630,851087547900,165581235,7625188,4.609375,165581235,4.609375,CJ CGV,KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,WI331,미디어,G50,커뮤니케이션서비스
035760,74800,76100,74200,75500,91706,6904890850,1655651127000,21929154,4013820,18.296875,10745285,37.34375,CJ ENM,KOSDAQ,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,WI331,미디어,G50,커뮤니케이션서비스
311690,10230,10430,10060,10130,13711,139251090,132353130060,13065462,284530,2.1796875,13065462,2.1796875,CJ 바이오사이언스,KOSDAQ,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",2019-12-26,WI410,건강관리,G35,건강관리
000120,86500,86600,85300,85400,42042,3603653850,1948174177600,22812344,3199891,14.03125,22812344,14.03125,CJ대한통운,KOSPI,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,WI260,운송,G20,산업재
011150,2900,2920,2900,2900,138362,402227438,104199241700,35930773,491874,1.3701172,35930773,1.3701172,CJ씨푸드,KOSPI,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,WI400,필수소비재,G30,필수소비재
097950,243000,244500,241000,241000,61462,14901955750,3628058826000,15054186,2657646,17.65625,15054186,17.65625,CJ제일제당,KOSPI,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,WI400,필수소비재,G30,필수소비재
051500,28800,29050,28350,28750,24299,696305225,341308097500,11871586,1588711,13.3828125,11871586,13.3828125,CJ프레시웨이,KOSDAQ,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,WI400,필수소비재,G30,필수소비재
058820,1913,1943,1908,1916,206091,394530973,282945623804,147675169,5156467,3.4902344,147675169,3.4902344,CMG제약,KOSDAQ,의약품 제조업,의약품,2001-08-31,WI410,건강관리,G35,건강관리
056730,762,762,725,727,72280,52813619,53878832222,74111186,974230,1.3095703,74111186,1.3095703,CNT85,KOSDAQ,건물 건설업,산업설비 제조외,2002-01-04,WI220,건설,G20,산업재
000480,5030,5030,4995,5000,32637,163203886,234452450000,46890490,398712,0.85009766,46890490,0.85009766,CR홀딩스,KOSPI,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",1978-06-30,WI200,비철금속,G15,소재
065770,989,994,964,971,103210,100766132,18848207230,19411130,751324,3.8691406,19411130,3.8691406,CS,KOSDAQ,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,WI610,IT하드웨어,G45,IT
083660,739,753,720,732,752273,555214867,44832936492,61247181,1327234,2.1699219,61247181,2.1699219,CSA 코스믹,KOSDAQ,기타 화학제품 제조업,화장품 제조 및 판매,2006-07-25,WI310,"화장품,의류",G25,경기관련소비재
